market_name,Date,temperature_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Surat,01-01-2024,30.6,18.1,23.6,0,0,0,14.3,29.9,0,0
Surat,02-01-2024,29.8,17.2,22.6,0,0,0,13.8,28.4,0,0
Surat,03-01-2024,29,15.8,21.7,0,0,0,15.5,31.3,0,0
Surat,04-01-2024,30,16.1,22.2,0,0,0,15.2,27.4,1,2
Surat,05-01-2024,29.3,16.5,22,0,0,0,16.6,28.8,1,2
Surat,06-01-2024,30.8,16.6,22.7,0,0,0,15.9,31.7,3,29
Surat,07-01-2024,31.2,18.5,24.1,0,0,0,15.9,33.5,3,42
Surat,08-01-2024,32.7,20.2,25.4,0,0,0,15.5,28.4,1,6
Surat,09-01-2024,31.1,20.2,25.5,0,0,0,16.6,33.1,3,34
Surat,10-01-2024,32.1,20.6,25.6,0.2,0.2,0,13.6,24.5,51,7
Surat,11-01-2024,32.4,20,25.4,0,0,0,15.1,25.6,0,1
Surat,12-01-2024,33.6,20.5,26.1,0,0,0,16.5,31.7,2,10
Surat,13-01-2024,32.2,19.6,25.4,0,0,0,13.6,29.5,0,0
Surat,14-01-2024,30.6,17.2,22.7,0,0,0,12.6,26.6,0,0
Surat,15-01-2024,27.7,14.3,20.2,0,0,0,11,24.8,0,0
Surat,16-01-2024,28,12.6,19.8,0,0,0,13,26.6,3,37
Surat,17-01-2024,28.4,13.4,20.2,0,0,0,12,24.5,3,57
Surat,18-01-2024,28.5,14.7,21,0,0,0,14.6,28.4,3,14
Surat,19-01-2024,30.8,15.7,22.3,0,0,0,17.3,32,1,5
Surat,20-01-2024,28.9,16.2,22,0,0,0,17,33.5,3,44
Surat,21-01-2024,29.6,15.6,22,0,0,0,18.6,36,3,55
Surat,22-01-2024,29.9,16,22.1,0,0,0,15.3,31,3,73
Surat,23-01-2024,29.1,14.9,21.5,0,0,0,19.3,38.5,3,13
Surat,24-01-2024,29.4,15.1,21.5,0,0,0,15.1,31.7,0,2
Surat,25-01-2024,30,15.3,21.7,0,0,0,17.1,35.3,1,4
Surat,26-01-2024,31.9,15.9,22.7,0,0,0,11.8,24.1,3,33
Surat,27-01-2024,33.2,16.1,22.9,0,0,0,13.9,26.6,3,83
Surat,28-01-2024,31.7,15.9,23,0,0,0,11.2,25.2,3,85
Surat,29-01-2024,30.8,16.5,23,0,0,0,13.8,29.9,3,68
Surat,30-01-2024,30.4,16,22.5,0,0,0,13,27,3,65
Surat,31-01-2024,30.5,16.3,23.1,0,0,0,12.6,27.7,3,81
Surat,01-02-2024,29.4,18.7,23.7,0,0,0,11.7,25.6,3,22
Surat,02-02-2024,30.6,18.3,23.6,0,0,0,12.3,23.8,3,65
Surat,03-02-2024,34.6,19.1,25.6,0,0,0,13,28.4,3,11
Surat,04-02-2024,35.1,18.6,26.2,0,0,0,11.4,23.8,0,0
Surat,05-02-2024,33,20.3,26.3,0,0,0,12,28.1,2,5
Surat,06-02-2024,33,20,25.9,0,0,0,12.3,28.8,2,12
Surat,07-02-2024,32,19.5,25.5,0,0,0,18.9,36.7,3,39
Surat,08-02-2024,31.8,19.4,25,0,0,0,14.5,32,3,59
Surat,09-02-2024,31.2,18.8,24.2,0,0,0,15.9,33.1,3,39
Surat,10-02-2024,30.8,17.2,23.6,0,0,0,13.1,28.8,1,1
Surat,11-02-2024,31.3,17.2,23.9,0,0,0,13.5,28.4,3,17
Surat,12-02-2024,32.2,17,23.9,0,0,0,14.4,31,3,99
Surat,13-02-2024,31.3,17.2,23.9,0,0,0,13.6,29.5,3,95
Surat,14-02-2024,31.3,18,24.4,0,0,0,14.6,32,3,35
Surat,15-02-2024,34.5,18,25.5,0,0,0,15.8,28.8,0,0
Surat,16-02-2024,37.7,21.9,28.5,0,0,0,15.3,32.8,1,3
Surat,17-02-2024,37.4,22,28.5,0,0,0,12.1,28.1,3,19
Surat,18-02-2024,35.5,19.8,27.6,0,0,0,16.1,34.9,3,14
Surat,19-02-2024,34.7,19.3,26.7,0,0,0,19.8,41,3,35
Surat,20-02-2024,32.2,19.3,25.3,0,0,0,15.8,34.2,3,22
Surat,21-02-2024,29.4,19.8,24.5,0,0,0,18.6,36.4,3,41
Surat,22-02-2024,31.1,18.9,24.5,0,0,0,13.4,29.9,3,17
Surat,23-02-2024,31.6,17.7,24,0,0,0,16.8,33.8,3,12
Surat,24-02-2024,31.5,17.9,23.7,0,0,0,18.6,37.4,0,0
Surat,25-02-2024,33.4,17.4,24.7,0,0,0,21.7,43.9,3,13
Surat,26-02-2024,36.3,19.6,26.8,0,0,0,13.8,30.2,3,67
Surat,27-02-2024,36,19.4,27.3,0,0,0,12.4,29.5,2,4
Surat,28-02-2024,37.4,20.2,28.3,0,0,0,16.9,33.5,0,2
Surat,29-02-2024,37.8,21.1,29,0,0,0,15.3,33.5,1,3
Surat,01-03-2024,35.5,21.7,27.5,0,0,0,18.5,40,1,5
Surat,02-03-2024,30.6,21.1,25.9,0,0,0,24.1,46.1,1,10
Surat,03-03-2024,27.4,18.3,23.1,0,0,0,17,34.9,1,4
Surat,04-03-2024,30,15.2,22.5,0,0,0,14.1,29.9,0,0
Surat,05-03-2024,31.5,16.3,23.7,0,0,0,15.9,34.9,1,2
Surat,06-03-2024,32.7,17.1,24.7,0,0,0,14.7,33.1,2,8
Surat,07-03-2024,34,17,25.6,0,0,0,14.5,30.6,3,65
Surat,08-03-2024,34.1,18.2,26.1,0,0,0,16.8,35.6,0,0
Surat,09-03-2024,34.8,20.3,26.8,0,0,0,17,34.2,3,13
Surat,10-03-2024,34.3,18.9,26.4,0,0,0,14.5,33.1,3,13
Surat,11-03-2024,36.3,19.7,28,0,0,0,12.7,29.9,0,0
Surat,12-03-2024,36,21.4,28.4,0,0,0,14.6,32.8,0,0
Surat,13-03-2024,34.9,22.5,27.6,0,0,0,15,33.8,0,2
Surat,14-03-2024,34,21,26.7,0,0,0,14,27.7,0,0
Surat,15-03-2024,34.6,18.5,26.2,0,0,0,16.2,35.3,0,0
Surat,16-03-2024,35.1,19,26.4,0,0,0,12.7,29.9,0,0
Surat,17-03-2024,35,19.1,26.4,0,0,0,14.7,33.8,0,0
Surat,18-03-2024,34.9,21.1,27.7,0,0,0,16.9,37.4,2,3
Surat,19-03-2024,37.6,19.8,28.3,0,0,0,17.8,36.4,3,12
Surat,20-03-2024,38.9,21.1,29.5,0,0,0,14.7,31,3,20
Surat,21-03-2024,39.1,20.5,29.7,0,0,0,16.1,34.2,3,48
Surat,22-03-2024,37.1,20.6,28.7,0,0,0,15.9,35.6,3,17
Surat,23-03-2024,38.2,21.3,29,0,0,0,15.7,31.3,3,25
Surat,24-03-2024,37.7,22.9,29.6,0,0,0,13.4,30.6,3,18
Surat,25-03-2024,39.6,22.4,30.2,0,0,0,16.1,34.6,0,0
Surat,26-03-2024,38.7,22,30,0,0,0,14.6,33.1,2,7
Surat,27-03-2024,38.8,24,31,0,0,0,14.8,33.8,3,18
Surat,28-03-2024,40,23.7,31.1,0,0,0,13.2,31,1,2
Surat,29-03-2024,40.2,24.8,31.3,0,0,0,14.4,31.7,2,12
