Market,Avg_Price,Total_Records,Unique_Commodities
Surat,4356.42,10060,40
Vyra,5464.51,1362,13
Mandvi,5894.9,1077,13
Mahuva(Anaval),3358.67,610,3
Bardoli(Katod),2788.77,443,2
Nizar,5396.58,388,9
Songadh,6512.77,254,14
Vyara(Paati),4201.74,240,3
Uchhal,3154.94,197,5
Nizar(Kukarmuda),4286.16,109,7
Nizar(Pumkitalov),4224.99,107,8
Bardoli(Madhi),2605.62,48,1
Mahuva,2455.33,30,2
Kosamba,2167.19,16,2
Kosamba(Zangvav),2325.0,6,2
Kosamba(Vankal),2275.0,5,1
Songadh(Badarpada),4721.0,5,1
Songadh(Umrada),2031.6,5,1
Valod(Buhari),4166.67,3,2
