market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Bardoli(Ma),21.1268,73.1101,2024-01-01,31.6,19.3,24.8,0.0,0.0,0,15.0,24.5,0,0
Bardoli(Ma),21.1268,73.1101,2024-01-02,31.2,18.3,23.8,0.0,0.0,0,16.3,26.6,0,0
Bardoli(Ma),21.1268,73.1101,2024-01-03,29.6,16.9,22.5,0.0,0.0,0,16.2,25.2,0,0
Bardoli(Ma),21.1268,73.1101,2024-01-04,30.0,17.0,23.0,0.0,0.0,0,16.9,26.3,2,4
Bardoli(Ma),21.1268,73.1101,2024-01-05,29.4,17.2,22.6,0.0,0.0,0,18.4,28.4,0,1
Bardoli(Ma),21.1268,73.1101,2024-01-06,30.7,17.2,23.3,0.0,0.0,0,17.0,32.8,3,31
Bardoli(Ma),21.1268,73.1101,2024-01-07,30.1,20.5,24.7,0.0,0.0,0,19.4,35.3,3,33
Bardoli(Ma),21.1268,73.1101,2024-01-08,31.8,21.2,25.9,0.0,0.0,0,17.5,31.0,1,9
Bardoli(Ma),21.1268,73.1101,2024-01-09,31.3,20.4,25.5,0.0,0.0,0,16.6,27.0,3,30
Bardoli(Ma),21.1268,73.1101,2024-01-10,31.8,21.4,25.9,0.0,0.0,0,14.8,23.4,1,7
Bardoli(Ma),21.1268,73.1101,2024-01-11,32.3,21.1,26.0,0.0,0.0,0,16.9,26.3,0,2
Bardoli(Ma),21.1268,73.1101,2024-01-12,33.3,21.0,26.8,0.0,0.0,0,14.9,26.3,2,13
Bardoli(Ma),21.1268,73.1101,2024-01-13,33.1,21.1,26.3,0.0,0.0,0,15.1,27.7,0,0
Bardoli(Ma),21.1268,73.1101,2024-01-14,30.7,18.6,23.8,0.0,0.0,0,13.1,25.9,0,0
Bardoli(Ma),21.1268,73.1101,2024-01-15,28.8,15.5,21.8,0.0,0.0,0,12.5,22.0,0,0
Bardoli(Ma),21.1268,73.1101,2024-01-16,29.0,15.3,21.8,0.0,0.0,0,12.7,20.9,3,39
Bardoli(Ma),21.1268,73.1101,2024-01-17,28.6,15.2,21.8,0.0,0.0,0,13.0,24.5,3,61
Bardoli(Ma),21.1268,73.1101,2024-01-18,29.1,16.3,22.3,0.0,0.0,0,12.9,21.6,2,12
Bardoli(Ma),21.1268,73.1101,2024-01-19,30.6,17.2,23.5,0.0,0.0,0,19.9,32.4,0,2
Bardoli(Ma),21.1268,73.1101,2024-01-20,29.2,17.1,22.9,0.0,0.0,0,18.2,29.2,3,45
Bardoli(Ma),21.1268,73.1101,2024-01-21,30.0,17.1,23.1,0.0,0.0,0,18.5,34.9,3,56
Bardoli(Ma),21.1268,73.1101,2024-01-22,30.4,17.0,23.0,0.0,0.0,0,18.5,33.1,3,73
Bardoli(Ma),21.1268,73.1101,2024-01-23,29.6,16.2,22.5,0.0,0.0,0,18.3,34.9,3,14
Bardoli(Ma),21.1268,73.1101,2024-01-24,29.1,15.3,22.1,0.0,0.0,0,16.9,33.1,1,4
Bardoli(Ma),21.1268,73.1101,2024-01-25,30.3,15.9,22.6,0.0,0.0,0,19.3,35.6,1,3
Bardoli(Ma),21.1268,73.1101,2024-01-26,31.9,17.4,23.8,0.0,0.0,0,15.3,27.4,3,35
Bardoli(Ma),21.1268,73.1101,2024-01-27,33.7,17.3,24.5,0.0,0.0,0,16.3,29.5,3,82
Bardoli(Ma),21.1268,73.1101,2024-01-28,33.2,17.2,24.4,0.0,0.0,0,13.5,24.1,3,93
Bardoli(Ma),21.1268,73.1101,2024-01-29,31.0,17.8,24.1,0.0,0.0,0,14.0,28.8,3,67
Bardoli(Ma),21.1268,73.1101,2024-01-30,30.8,17.7,23.9,0.0,0.0,0,13.5,21.2,3,59
Bardoli(Ma),21.1268,73.1101,2024-01-31,31.0,18.4,24.3,0.0,0.0,0,16.7,27.7,3,83
Bardoli(Ma),21.1268,73.1101,2024-02-01,30.5,19.1,24.2,0.0,0.0,0,14.9,28.1,3,29
Bardoli(Ma),21.1268,73.1101,2024-02-02,30.3,17.6,24.1,0.0,0.0,0,8.6,20.5,3,42
