time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,market_name_lookup,latitude_lookup,longitude_lookup
2024-01-01,31.6,19.3,0.0,15.0,Bardoli,21.124,73.1115
2024-01-02,31.2,18.3,0.0,16.3,Bardoli,21.124,73.1115
2024-01-03,29.6,16.9,0.0,16.2,Bardoli,21.124,73.1115
2024-01-04,30.0,17.0,0.0,16.9,Bardoli,21.124,73.1115
2024-01-05,29.4,17.2,0.0,18.4,Bardoli,21.124,73.1115
2024-01-06,30.7,17.2,0.0,17.0,Bardoli,21.124,73.1115
2024-01-07,30.1,20.5,0.0,19.4,Bardoli,21.124,73.1115
2024-01-08,31.8,21.2,0.0,17.5,Bardoli,21.124,73.1115
2024-01-09,31.3,20.4,0.0,16.6,Bardoli,21.124,73.1115
2024-01-10,31.8,21.4,0.0,14.8,Bardoli,21.124,73.1115
2024-01-11,32.3,21.1,0.0,16.9,Bardoli,21.124,73.1115
2024-01-12,33.3,21.0,0.0,14.9,Bardoli,21.124,73.1115
2024-01-13,33.1,21.1,0.0,15.1,Bardoli,21.124,73.1115
2024-01-14,30.7,18.6,0.0,13.1,Bardoli,21.124,73.1115
2024-01-15,28.8,15.5,0.0,12.5,Bardoli,21.124,73.1115
2024-01-16,29.0,15.3,0.0,12.7,Bardoli,21.124,73.1115
2024-01-17,28.6,15.2,0.0,13.0,Bardoli,21.124,73.1115
2024-01-18,29.1,16.3,0.0,12.9,Bardoli,21.124,73.1115
2024-01-19,30.6,17.2,0.0,19.9,Bardoli,21.124,73.1115
2024-01-20,29.2,17.1,0.0,18.2,Bardoli,21.124,73.1115
2024-01-21,30.0,17.1,0.0,18.5,Bardoli,21.124,73.1115
2024-01-22,30.4,17.0,0.0,18.5,Bardoli,21.124,73.1115
2024-01-23,29.6,16.2,0.0,18.3,Bardoli,21.124,73.1115
2024-01-24,29.1,15.3,0.0,16.9,Bardoli,21.124,73.1115
2024-01-25,30.3,15.9,0.0,19.3,Bardoli,21.124,73.1115
2024-01-26,31.9,17.4,0.0,15.3,Bardoli,21.124,73.1115
2024-01-27,33.7,17.3,0.0,16.3,Bardoli,21.124,73.1115
2024-01-28,33.2,17.2,0.0,13.5,Bardoli,21.124,73.1115
2024-01-29,31.0,17.8,0.0,14.0,Bardoli,21.124,73.1115
2024-01-30,30.8,17.7,0.0,13.5,Bardoli,21.124,73.1115
2024-01-31,31.0,18.4,0.0,16.7,Bardoli,21.124,73.1115
2024-02-01,30.5,19.1,0.0,14.9,Bardoli,21.124,73.1115
2024-02-02,30.3,17.6,0.0,8.6,Bardoli,21.124,73.1115
2024-02-03,34.4,19.7,0.0,13.5,Bardoli,21.124,73.1115
2024-02-04,35.2,20.2,0.0,15.1,Bardoli,21.124,73.1115
2024-02-05,34.3,21.8,0.0,15.7,Bardoli,21.124,73.1115
2024-02-06,34.5,21.3,0.0,16.2,Bardoli,21.124,73.1115
2024-02-07,33.1,20.3,0.0,18.9,Bardoli,21.124,73.1115
2024-02-08,31.6,20.0,0.0,21.9,Bardoli,21.124,73.1115
2024-02-09,32.1,19.3,0.0,16.9,Bardoli,21.124,73.1115
2024-02-10,31.6,17.7,0.0,18.7,Bardoli,21.124,73.1115
2024-02-11,32.2,17.9,0.0,15.8,Bardoli,21.124,73.1115
2024-02-12,33.1,18.3,0.0,19.1,Bardoli,21.124,73.1115
2024-02-13,32.3,19.1,0.0,17.4,Bardoli,21.124,73.1115
2024-02-14,32.7,18.9,0.0,14.4,Bardoli,21.124,73.1115
2024-02-15,34.1,18.4,0.0,16.9,Bardoli,21.124,73.1115
2024-02-16,37.9,22.7,0.0,20.4,Bardoli,21.124,73.1115
2024-02-17,37.8,22.1,0.0,18.0,Bardoli,21.124,73.1115
2024-02-18,36.3,21.1,0.0,16.8,Bardoli,21.124,73.1115
2024-02-19,35.4,20.1,0.0,23.6,Bardoli,21.124,73.1115
2024-02-20,33.6,20.1,0.0,22.0,Bardoli,21.124,73.1115
2024-02-21,30.6,21.0,0.0,16.6,Bardoli,21.124,73.1115
2024-02-22,31.8,20.9,0.0,18.7,Bardoli,21.124,73.1115
2024-02-23,31.2,19.4,0.0,13.7,Bardoli,21.124,73.1115
