app_temp,azimuth,clouds,datetime,dewpt,dhi,dni,elev_angle,ghi,h_angle,pod,precip,pres,revision_status,revision_version,rh,slp,snow,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather,wind_dir,wind_gust_spd,wind_spd,market_name_lookup,latitude_lookup,longitude_lookup
26.5,296.5,100,2025-10-31:18,23.5,0,0,-75.8,0,,n,0.25,1006,final,2.1,88,1010,0,0,25.6,2025-10-31T23:30:00,2025-10-31T18:00:00,1761933600,0.0,16,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",56,2.0,1.6,Bardoli,21.124,73.1115
26.1,15.5,100,2025-10-31:19,23.3,0,0,-83.0,0,,n,0.25,1005,final,2.1,89,1009,0,0,25.2,2025-11-01T00:30:00,2025-10-31T19:00:00,1761937200,0.0,16,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",58,5.2,2.0,Bardoli,21.124,73.1115
26.1,70.0,100,2025-10-31:20,23.3,0,0,-72.5,0,,n,0.0,1005,final,2.1,89,1009,0,0,25.2,2025-11-01T01:30:00,2025-10-31T20:00:00,1761940800,0.0,16,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",58,4.0,1.6,Bardoli,21.124,73.1115
26.1,82.8,99,2025-10-31:21,23.3,0,0,-58.9,0,,n,0.0,1005,final,2.1,89,1009,0,0,25.2,2025-11-01T02:30:00,2025-10-31T21:00:00,1761944400,0.0,16,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",68,4.4,1.6,Bardoli,21.124,73.1115
25.8,89.5,100,2025-10-31:22,23.8,0,0,-45.0,0,,n,0.0,1004,final,2.1,94,1008,0,0,24.8,2025-11-01T03:30:00,2025-10-31T22:00:00,1761948000,0.0,16,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",78,3.6,1.6,Bardoli,21.124,73.1115
25.8,94.6,100,2025-10-31:23,23.8,0,0,-31.0,0,,n,0.0,1004,final,2.1,94,1008,0,0,24.8,2025-11-01T04:30:00,2025-10-31T23:00:00,1761951600,0.0,16,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",108,3.2,1.6,Bardoli,21.124,73.1115
26.2,99.3,100,2025-11-01:00,24.2,0,0,-17.1,0,,n,0.0,1005,final,2.1,94,1009,0,0,25.2,2025-11-01T05:30:00,2025-11-01T00:00:00,1761955200,0.0,7,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",118,2.8,2.0,Bardoli,21.124,73.1115
26.2,104.2,91,2025-11-01:01,24.2,0,0,-3.5,0,,n,0.0,1006,final,2.1,94,1010,0,0,25.2,2025-11-01T06:30:00,2025-11-01T01:00:00,1761958800,0.0,6,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",122,2.4,2.0,Bardoli,21.124,73.1115
26.7,109.9,41,2025-11-01:02,24.6,54,480,9.9,128,,d,0.0,1006,final,2.1,94,1010,0,113,25.6,2025-11-01T07:30:00,2025-11-01T02:00:00,1761962400,1.5,12,"{'icon': 'c03d', 'description': 'Broken clouds', 'code': 803}",122,3.2,2.4,Bardoli,21.124,73.1115
27.4,117.0,29,2025-11-01:03,24.9,84,719,22.8,355,,d,0.0,1007,final,2.1,92,1011,0,324,26.3,2025-11-01T08:30:00,2025-11-01T03:00:00,1761966000,2.2,16,"{'icon': 'c02d', 'description': 'Scattered clouds', 'code': 802}",134,3.6,2.4,Bardoli,21.124,73.1115
